Title,Author,ISBN,Bookshelves,Date Read
Battle Lines: A Graphic History of the Civil War,Jonathan Fetter-Vorm,9780809094745,Finished reading,""
A Field Guide to Getting Lost,Rebecca Solnit,9780143037248,Finished reading,""
Making Monte Carlo: A History of Speculation and Spectacle,Mark Braude,9781476709697,Finished reading,""
White Flight: Atlanta and the Making of Modern Conservatism,Kevin M. Kruse,9780691133867,Finished reading,""
The New Suburban History,Kevin M. Kruse,9780226456638,Finished reading,""
The Whole-Brain Child: 12 Revolutionary Strategies to Nurture Your Child's Developing Mind,Daniel J. Siegel,9780553386691,Finished reading,""
American Nations: A History of the Eleven Rival Regional Cultures of North America,Colin Woodard,9780143122029,Finished reading,""
Make It a Green Peace!: The Rise of Countercultural Environmentalism,Frank Zelko,9780199947089,Finished reading,""
Arming Mother Nature: The Birth of Catastrophic Environmentalism,Jacob Darwin Hamblin,9780199740055,Finished reading,""
The Other Slavery: The Uncovered Story of Indian Enslavement in America,Andrés Reséndez,9780547640983,Finished reading,""
"Greening the Red, White, and Blue: The Bomb, Big Business, and Consumer Resistance in Postwar America",Thomas Jundt,9780199791200,Finished reading,""
Mesa of Sorrows: A History of the Awat'ovi Massacre,James F. Brooks,9780393061253,Finished reading,""
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,9780345538376,Finished reading,""
The Water Knife,Paolo Bacigalupi,9780804171533,Finished reading,""
A Song of Ice and Fire series: 5-Book Boxed Set,George R.R. Martin,9780345535528,Finished reading,""
Letting Go?: Sharing Historical Authority in a User-Generated World,Bill Adair,9780983480303,Finished reading,""
Don't Blame Us: Suburban Liberals and the Transformation of the Democratic Party,Lily Geismer,9780691157238,Finished reading,""
Cubed: The Secret History of the Workplace,Nikil Saval,9780345802804,Finished reading,""
The Book of Trees: Visualizing Branches of Knowledge,Manuel Lima,9781616892180,Finished reading,""
"The Politics of Rage: George Wallace, the Origins of the New Conservatism, and the Transformation of American Politics",Dan T. Carter,9780807125977,Finished reading,""
Power & Place in the North American West,Richard White,9780295977737,Finished reading,""
American Character: A History of the Epic Struggle Between Individual Liberty and the Common Good,Colin Woodard,9780525427896,Finished reading,""
Infinite City: A San Francisco Atlas,Rebecca Solnit,9780520262508,Finished reading,""
Inherit the Holy Mountain: Religion and the Rise of American Environmentalism,Mark Stoll,9780190230869,Finished reading,""
Not So Golden State: California's Environmental Challenges,Char Miller,9781595347824,Finished reading,""
The Lost Region: Toward a Revival of Midwestern History,Jon K. Lauck,9781609381899,Finished reading,""
Discipline and Punish: The Birth of the Prison,Michel Foucault,9780679752554,Finished reading,""
Invisible Cities,Italo Calvino,9780156453806,Finished reading,""
Brave New World,Aldous Huxley,9781535163408,Finished reading,""
The Old Man and the Sea,Ernest Hemingway,9780684801223,Finished reading,""
Fahrenheit 451,Ray Bradbury,9781451673319,Finished reading,""
"Making the White Man's West: “A compelling, multi-faceted analysis of the importance of the West—and its taming—in our national narrative.”—Jan E. Dizard, Charles Hamilton Houston Professor of American Culture, Amherst College",Jason E. Pierce,9781607323952,Finished reading,""
The Way We Never Were: American Families & the Nostalgia Trap,Stephanie Coontz,9780465090976,Finished reading,""
White Trash: The 400-Year Untold History of Class in America,Nancy Isenberg,9780670785971,Finished reading,""
Devoted to Nature: The Religious Roots of American Environmentalism,Evan Berry,9780520285736,Finished reading,""
"All The Wild That Remains: Edward Abbey, Wallace Stegner, and the American West",David Gessner,9780393352375,Finished reading,""
Bridging the Distance: Common Issues of Rural West,David B. Danbom,9781607814559,Finished reading,""
"The Crossing (The Border Trilogy, #2)",Cormac McCarthy,9780679760849,Finished reading,""
"Cities of the Plain (The Border Trilogy, #3)",Cormac McCarthy,9780679747192,Finished reading,""
Driven Wild: How the Fight Against Automobiles Launched the Modern Wilderness Movement,Paul S. Sutter,9780295982205,Finished reading,""
Contagious Divides: Epidemics and Race in San Francisco's Chinatown,Nayan Shah,9780520226296,Finished reading,""
Roaring Camp: The Social World of the California Gold Rush,Susan Lee Johnson,9780393320992,Finished reading,""
"An American Genocide: The United States and the California Indian Catastrophe, 1846-1873",Benjamin Madley,9780300181364,Finished reading,""
Mapping Decline: St. Louis and the Fate of the American City,Colin Gordon,9780812220940,Finished reading,""
Angle of Repose,Wallace Stegner,9781101872765,Finished reading,""
Blessed Among Nations: How the World Made America,Eric Rauchway,9780809030477,Finished reading,""
